PERIOD,YEAR,STATS_VALUE
March,1938,16.2
April,1938,14
May,1938,8.9
June,1938,6.3
July,1938,4
August,1938,6.9
September,1938,9.3
October,1938,12.1
November,1938,13.6
December,1938,14.5
January,1939,15.1
February,1939,15.8
March,1939,15
April,1939,12.2
May,1939,9.5
June,1939,7.2
July,1939,4.1
August,1939,5.9
September,1939,8.7
October,1939,10.6
November,1939,13.8
December,1939,16.5
January,1940,17.5
February,1940,15.5
March,1940,13.5
April,1940,10.1
May,1940,7.6
June,1940,5.8
July,1940,5.9
August,1940,7.5
September,1940,9.3
October,1940,12.1
November,1940,12.6
December,1940,16.6
January,1941,17.5
February,1941,17
March,1941,14.9
April,1941,10.4
May,1941,8.8
June,1941,4.8
July,1941,5.2
August,1941,5.9
September,1941,9.4
October,1941,10.9
November,1941,13.5
December,1941,14.3
January,1942,15.7
February,1942,15.5
March,1942,14
April,1942,12.1
May,1942,9.7
June,1942,7
July,1942,6.1
August,1942,7.1
September,1942,10.1
October,1942,12.4
November,1942,13.9
December,1942,14
January,1943,16.3
February,1943,16.3
March,1943,13.9
April,1943,12
May,1943,7.3
June,1943,6.7
July,1943,4.9
August,1943,5.5
September,1943,8.3
October,1943,10.5
November,1943,13.8
December,1943,16.1
January,1944,16.9
February,1944,16.2
March,1944,14.2
April,1944,12.9
May,1944,7.7
June,1944,6.1
July,1944,5.8
August,1944,6
September,1944,8.8
October,1944,11.9
November,1944,13.8
December,1944,13.9
January,1945,16.4
February,1945,16.3
March,1945,14.1
April,1945,12
May,1945,8
June,1945,5.1
July,1945,3.9
August,1945,8.1
September,1945,9.6
October,1945,9.9
November,1945,15.3
December,1945,13.4
January,1946,15.9
February,1946,16.6
March,1946,14.9
April,1946,11.7
May,1946,9.1
June,1946,6.1
July,1946,6.6
August,1946,7.5
September,1946,9.4
October,1946,10.6
November,1946,10.4
December,1946,14
January,1947,15.2
February,1947,15.2
March,1947,14.7
April,1947,11.2
May,1947,8.9
June,1947,6.3
July,1947,5.7
August,1947,7.9
September,1947,10
October,1947,11.4
November,1947,14.4
December,1947,16.2
January,1948,17.8
February,1948,15.9
March,1948,15.3
April,1948,12
May,1948,9.4
June,1948,5.9
July,1948,6.9
August,1948,7.5
September,1948,10.1
October,1948,11.7
November,1948,13.3
December,1948,15.8
January,1949,14.9
February,1949,18.4
March,1949,14.5
April,1949,10.8
May,1949,8.5
June,1949,6.2
July,1949,7.3
August,1949,6.4
September,1949,9.2
October,1949,14
November,1949,13.3
December,1949,15.2
January,1950,17
February,1950,15.9
March,1950,14.3
April,1950,11
May,1950,10.6
June,1950,5.7
July,1950,6.2
August,1950,6
September,1950,9.8
October,1950,12.2
November,1950,14.4
December,1950,15
January,1951,15
February,1951,15.7
March,1951,14.6
April,1951,12.3
May,1951,8.1
June,1951,4.5
July,1951,6.3
August,1951,6.2
September,1951,9.9
October,1951,11.6
November,1951,13.8
December,1951,13.6
January,1952,15.4
February,1952,16.8
March,1952,14.1
April,1952,12.5
May,1952,8.9
June,1952,6.2
July,1952,5.2
August,1952,7.8
September,1952,10.7
October,1952,12.2
November,1952,12.9
December,1952,16
January,1953,15.2
February,1953,15.6
March,1953,14.5
April,1953,11.5
May,1953,9.4
June,1953,6.6
July,1953,5.8
August,1953,7.6
September,1953,9.8
October,1953,10.9
November,1953,15.3
December,1953,15.4
January,1954,16.4
February,1954,18.5
March,1954,15.6
April,1954,11.4
May,1954,9.6
June,1954,7.9
July,1954,5.1
August,1954,7
September,1954,9.2
October,1954,12.2
November,1954,15.6
December,1954,16.1
January,1955,17.5
February,1955,18
March,1955,15.4
April,1955,13.7
May,1955,10.4
June,1955,6.4
July,1955,5.3
August,1955,8.1
September,1955,10.5
October,1955,12.9
November,1955,14.4
December,1955,16.6
January,1956,19.6
February,1956,16.7
March,1956,14.1
April,1956,14.8
May,1956,8.9
June,1956,7.6
July,1956,6
August,1956,6.9
September,1956,10
October,1956,12.2
November,1956,14.1
December,1956,15.9
January,1957,17.7
February,1957,18.3
March,1957,16.4
April,1957,13.2
May,1957,9.7
June,1957,6.9
July,1957,6.1
August,1957,8.2
September,1957,9.6
October,1957,11.6
November,1957,13.8
December,1957,15.1
January,1958,15.6
February,1958,17.5
March,1958,16.1
April,1958,11.5
May,1958,9.7
June,1958,6.4
July,1958,5.1
August,1958,7.9
September,1958,9
October,1958,12.9
November,1958,15.3
December,1958,16.8
January,1959,17.4
February,1959,17.1
March,1959,15.1
April,1959,12.9
May,1959,6.4
June,1959,5.4
July,1959,5.8
August,1959,7.3
September,1959,10.5
October,1959,10.1
November,1959,14.9
December,1959,15.7
January,1960,17.3
February,1960,15.9
March,1960,14
April,1960,12.4
May,1960,9.8
June,1960,7
July,1960,6.9
August,1960,6.9
September,1960,9.7
October,1960,12.7
November,1960,13.7
December,1960,14.1
January,1961,16
February,1961,17.1
March,1961,13.6
April,1961,12.4
May,1961,8.4
June,1961,6
July,1961,6.3
August,1961,7
September,1961,8.6
October,1961,14.9
November,1961,14.7
December,1961,17.2
January,1962,18.7
February,1962,16.1
March,1962,15.6
April,1962,11.9
May,1962,11.9
June,1962,7.7
July,1962,7.3
August,1962,7.6
September,1962,9.9
October,1962,13.8
November,1962,14.3
December,1962,16.1
January,1963,17.9
February,1963,17.7
March,1963,14.3
April,1963,11.1
May,1963,9.6
June,1963,5.8
July,1963,5.9
August,1963,6.2
September,1963,9.5
October,1963,12.7
November,1963,12.8
December,1963,14.9
January,1964,16.3
February,1964,16.8
March,1964,15.6
April,1964,12.1
May,1964,9
June,1964,6.2
July,1964,6.9
August,1964,7.4
September,1964,9.6
October,1964,12.2
November,1964,13.5
December,1964,16.8
January,1965,18.4
February,1965,15.8
March,1965,14.5
April,1965,12.3
May,1965,8.6
June,1965,6.7
July,1965,5
August,1965,7.2
September,1965,10
October,1965,10.9
November,1965,13.4
December,1965,16
January,1966,16.8
February,1966,18.3
March,1966,15.9
April,1966,12.7
May,1966,7.9
June,1966,6.8
July,1966,5.5
August,1966,6.9
September,1966,9.7
October,1966,12.1
November,1966,13.3
December,1966,15.5
January,1967,16.7
February,1967,17.1
March,1967,15.8
April,1967,13.1
May,1967,9.5
June,1967,5.9
July,1967,6
August,1967,8.8
September,1967,8.7
October,1967,12.8
November,1967,12.8
December,1967,15.9
January,1968,17.2
February,1968,17.2
March,1968,17.6
April,1968,11.7
May,1968,10.4
June,1968,6.6
July,1968,5
August,1968,8.1
September,1968,9
October,1968,11.7
November,1968,14.3
December,1968,14.6
January,1969,17
February,1969,16.4
March,1969,15.8
April,1969,11.9
May,1969,9.5
June,1969,5.1
July,1969,5.6
August,1969,7.6
September,1969,12
October,1969,10.6
November,1969,14.9
December,1969,17.5
January,1970,18.1
February,1970,16.5
March,1970,15.7
April,1970,13.4
May,1970,8.3
June,1970,7.4
July,1970,7.1
August,1970,8.5
September,1970,10.6
October,1970,12.3
